Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",46.8%,Easy,0.263326,https://leetcode.com/problems/two-sum
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",43.2%,Hard,0.61793,https://leetcode.com/problems/merge-k-sorted-lists
34,Find First and Last Position of Element in Sorted Array,"Array, Binary Search",37.6%,Medium,0.282119,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
56,Merge Intervals,"Array, Sort",41.5%,Medium,0.680284,https://leetcode.com/problems/merge-intervals
57,Insert Interval,"Array, Sort",35.4%,Medium,8.34667,https://leetcode.com/problems/insert-interval
68,Text Justification,String,30.4%,Hard,1.19862,https://leetcode.com/problems/text-justification
79,Word Search,"Array, Backtracking",37.3%,Medium,0.344611,https://leetcode.com/problems/word-search
128,Longest Consecutive Sequence,"Array, Union Find",46.6%,Hard,0.618711,https://leetcode.com/problems/longest-consecutive-sequence
133,Clone Graph,"Depth-first Search, Breadth-first Search, Graph",40.1%,Medium,0.477246,https://leetcode.com/problems/clone-graph
146,LRU Cache,Design,36.4%,Medium,0.267797,https://leetcode.com/problems/lru-cache
208,Implement Trie (Prefix Tree),"Design, Trie",52.8%,Medium,0.58735,https://leetcode.com/problems/implement-trie-prefix-tree
212,Word Search II,"Backtracking, Trie",37.6%,Hard,1.52821,https://leetcode.com/problems/word-search-ii
218,The Skyline Problem,"Divide and Conquer, Heap, Binary Indexed Tree, Segment Tree, Line Sweep",36.7%,Hard,3.44125,https://leetcode.com/problems/the-skyline-problem
221,Maximal Square,Dynamic Programming,39.7%,Medium,7.39496,https://leetcode.com/problems/maximal-square
239,Sliding Window Maximum,"Heap, Sliding Window, Dequeue",44.8%,Hard,0.466039,https://leetcode.com/problems/sliding-window-maximum
253,Meeting Rooms II,"Heap, Greedy, Sort",47.2%,Medium,0.866484,https://leetcode.com/problems/meeting-rooms-ii
295,Find Median from Data Stream,"Heap, Design",47.6%,Hard,1.07653,https://leetcode.com/problems/find-median-from-data-stream
300,Longest Increasing Subsequence,"Binary Search, Dynamic Programming",44.7%,Medium,0.301817,https://leetcode.com/problems/longest-increasing-subsequence
332,Reconstruct Itinerary,"Depth-first Search, Graph",38.3%,Medium,0.897838,https://leetcode.com/problems/reconstruct-itinerary
340,Longest Substring with At Most K Distinct Characters,"Hash Table, Two Pointers, String, Sliding Window",45.8%,Medium,0.89627,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters
380,Insert Delete GetRandom O(1),"Array, Hash Table, Design",49.2%,Medium,10.8202,https://leetcode.com/problems/insert-delete-getrandom-o1
532,K-diff Pairs in an Array,"Array, Two Pointers",35.6%,Medium,9.494,https://leetcode.com/problems/k-diff-pairs-in-an-array
540,Single Element in a Sorted Array,Binary Search,57.9%,Medium,1.39832,https://leetcode.com/problems/single-element-in-a-sorted-array
635,Design Log Storage System,"String, Design",60.2%,Medium,70.1348,https://leetcode.com/problems/design-log-storage-system
647,Palindromic Substrings,"String, Dynamic Programming",62.8%,Medium,0.222939,https://leetcode.com/problems/palindromic-substrings
697,Degree of an Array,Array,54.5%,Easy,1.84602,https://leetcode.com/problems/degree-of-an-array
716,Max Stack,Design,43.2%,Easy,1.95343,https://leetcode.com/problems/max-stack
721,Accounts Merge,"Depth-first Search, Union Find",52.5%,Medium,3.15139,https://leetcode.com/problems/accounts-merge
724,Find Pivot Index,Array,46.3%,Easy,1.86972,https://leetcode.com/problems/find-pivot-index
739,Daily Temperatures,"Hash Table, Stack",64.9%,Medium,0.624302,https://leetcode.com/problems/daily-temperatures
780,Reaching Points,Math,30.5%,Hard,37.9749,https://leetcode.com/problems/reaching-points
945,Minimum Increment to Make Array Unique,Array,46.9%,Medium,11.6321,https://leetcode.com/problems/minimum-increment-to-make-array-unique
981,Time Based Key-Value Store,"Hash Table, Binary Search",54.3%,Medium,1.14586,https://leetcode.com/problems/time-based-key-value-store
1151,Minimum Swaps to Group All 1's Together,"Array, Sliding Window",58.7%,Medium,2.08752,https://leetcode.com/problems/minimum-swaps-to-group-all-1s-together
1197,Minimum Knight Moves,Breadth-first Search,37.6%,Medium,1.38271,https://leetcode.com/problems/minimum-knight-moves
1297,Maximum Number of Occurrences of a Substring,"String, Bit Manipulation",50.9%,Medium,40.2697,https://leetcode.com/problems/maximum-number-of-occurrences-of-a-substring
1326,Minimum Number of Taps to Open to Water a Garden,"Dynamic Programming, Greedy",47.5%,Hard,3.03682,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden
1348,Tweet Counts Per Frequency,Design,37.4%,Medium,100.0,https://leetcode.com/problems/tweet-counts-per-frequency
1492,The kth Factor of n,Math,63.1%,Medium,3.96995,https://leetcode.com/problems/the-kth-factor-of-n
